exit_sd,long_label,short_label,n_trades,avg_net,avg_hold_cal,win_rate,total_EV
1.5,BRENT,NATGAS,40,0.004607691615065949,32.15,0.7,0.18430766460263798
1.5,BRENT,WHEAT,39,0.006967014481534982,25.76923076923077,0.7692307692307693,0.2717135647798643
1.5,COFFEE,NATGAS,68,0.019200793136044243,23.941176470588236,0.8088235294117647,1.3056539332510084
1.5,COFFEE,SILVER,60,0.0036915832567482616,31.266666666666666,0.8166666666666667,0.2214949954048957
1.5,COPPER,NATGAS,54,0.0006958806122103914,35.870370370370374,0.6851851851851852,0.037577553059361134
1.5,GOLD,NATGAS,58,-0.0008966075998990878,39.43103448275862,0.6724137931034483,-0.05200324079414709
1.5,NATGAS,BRENT,37,-0.0028294105089021913,33.37837837837838,0.6756756756756757,-0.10468818882938108
1.5,NATGAS,COFFEE,63,0.019533676245654576,27.015873015873016,0.8412698412698413,1.2306216034762383
1.5,NATGAS,COPPER,54,0.00020606499141001352,35.31481481481482,0.7407407407407407,0.01112750953614073
1.5,NATGAS,GOLD,47,-0.013655580423823597,47.808510638297875,0.574468085106383,-0.641812279919709
1.5,NATGAS,SOYBEANS,48,-0.006178258287924711,43.416666666666664,0.6041666666666666,-0.2965563978203861
1.5,NATGAS,SUGAR,59,0.0026390163352139405,35.271186440677965,0.711864406779661,0.1557019637776225
1.5,PLATINUM,SOYBEANS,55,0.008686148568212627,33.03636363636364,0.8181818181818182,0.4777381712516945
1.5,SILVER,COFFEE,61,0.0037648814464568657,30.868852459016395,0.7540983606557377,0.2296577682338688
1.5,SOYBEANS,NATGAS,56,0.00010687109713540532,38.0,0.7142857142857143,0.005984781439582698
1.5,SOYBEANS,PLATINUM,52,0.007198662302462087,33.53846153846154,0.7884615384615384,0.37433043972802854
1.5,SOYBEANS,WHEAT,56,0.006051407277032321,28.142857142857142,0.75,0.33887880751380994
1.5,SUGAR,NATGAS,61,0.0018702775893619462,34.81967213114754,0.7704918032786885,0.11408693295107872
1.5,WHEAT,BRENT,33,-0.001505321286185931,30.21212121212121,0.7272727272727273,-0.04967560244413573
1.5,WHEAT,SOYBEANS,52,0.005871309505197044,30.615384615384617,0.7307692307692307,0.3053080942702463
