Long,Short,confirmation_bars,exit_sd,n_trades,gross_wr,net_wr,avg_gross,avg_net,avg_winner_gross,avg_loser_gross,avg_winner_net,avg_loser_net,payoff_gross,payoff_net,avg_holding,median_holding,avg_spread_cost,avg_fin_cost,avg_total_cost
UKX,COI,0,1.5,48,0.6666666666666666,0.5416666666666666,0.0027779663754064978,-0.008788243670255602,0.013821522606281472,-0.019309146086343452,0.009285005378805814,-0.03014753800096455,0.7158018559949088,0.3079855269942357,34.520833333333336,19.0,0.004,0.0075662100456621,0.0115662100456621
UKX,COI,1,1.5,47,0.6595744680851063,0.46808510638297873,0.0015521691641469774,-0.009652727367476459,0.011622122042510334,-0.017958364537682025,0.008927308666655052,-0.026003159077512182,0.6471704045278535,0.34331631168520166,32.87234042553192,15.0,0.004,0.0072048965316234325,0.011204896531623432
UKX,COI,2,1.5,46,0.6956521739130435,0.5434782608695652,0.0024241048391351167,-0.007879647394337188,0.011199689507646327,-0.01763437440317622,0.007691532499366489,-0.026416766315412992,0.635105575711781,0.29116101522535054,28.76086956521739,9.0,0.004,0.006303752233472306,0.010303752233472307
UKX,COI,3,1.5,44,0.6590909090909091,0.4772727272727273,0.0016605829906620464,-0.007699317382936957,0.010102613376133045,-0.01466067575458188,0.006527282896116858,-0.02068882198555131,0.6890960243067711,0.31549804530559505,24.454545454545453,8.0,0.004,0.005359900373599003,0.009359900373599003
UKX,COI,0,1.8,69,0.7681159420289855,0.5072463768115942,0.001018640207152173,-0.007164802318160513,0.007980138568820619,-0.022041323115874558,0.004450670652430998,-0.019121906846710602,0.36205351769799965,0.23275244922535604,19.08695652173913,8.0,0.004,0.004183442525312685,0.008183442525312685
UKX,COI,1,1.8,66,0.696969696969697,0.45454545454545453,0.00045515517185916313,-0.007390423906596628,0.008293254983044021,-0.01757247439386602,0.005324636879773128,-0.017986307895238095,0.4719457713899943,0.2960383482139119,17.545454545454547,7.5,0.004,0.0038455790784557905,0.00784557907845579
UKX,COI,2,1.8,63,0.7142857142857143,0.49206349206349204,0.001859775391009269,-0.00531656729218273,0.008456789194670132,-0.014632759118142883,0.0056430830465975645,-0.015933728557876135,0.5779353795406034,0.35415960715661593,14.492063492063492,6.0,0.004,0.003176342683191998,0.007176342683191998
UKX,COI,3,1.8,58,0.6551724137931034,0.3793103448275862,0.0009147229874996747,-0.005511351646416245,0.0075356892425887155,-0.011665112897169504,0.005622078350862071,-0.012315114422530773,0.6460022555304392,0.456518563934441,11.068965517241379,4.0,0.004,0.0024260746339159187,0.006426074633915918
UKX,COI,0,2.0,110,0.7545454545454545,0.32727272727272727,0.001451570671799503,-0.004736225094078455,0.005868376454320431,-0.012126017474468533,0.005664415023097203,-0.00979599596189364,0.48394919986519597,0.5782377866560726,9.981818181818182,5.0,0.004,0.0021877957658779576,0.006187795765877958
UKX,COI,1,2.0,99,0.7373737373737373,0.26262626262626265,0.0015223025332375914,-0.0044857229268426635,0.006077643275883794,-0.011267692628807514,0.007290250357128197,-0.008679905192366532,0.5393866762344408,0.8398997679766761,9.16161616161616,4.0,0.004,0.0020080254600802544,0.0060080254600802544
UKX,COI,2,2.0,85,0.6352941176470588,0.3176470588235294,0.001493211900396213,-0.004244741363100967,0.007027214765602696,-0.008146664058350562,0.00654395728707274,-0.00926706659680252,0.862588013359849,0.7061519649951201,7.929411764705883,3.0,0.004,0.0017379532634971791,0.0057379532634971794
UKX,COI,3,2.0,70,0.5857142857142857,0.2714285714285714,0.0003284198536910001,-0.004914632983882385,0.005788512408050675,-0.007391021343851989,0.005707871629492473,-0.00887203666337498,0.7831816658012609,0.6433552797471378,5.671428571428572,1.0,0.004,0.0012430528375733858,0.005243052837573385
UKX,CRM,0,1.5,54,0.7592592592592593,0.6666666666666666,0.013787981011469221,0.0039107613260303585,0.024343475088874078,-0.019502423386499934,0.02087367845138026,-0.030015072924669442,1.248228212793557,0.6954398712862745,26.814814814814813,13.5,0.004,0.005877219685438862,0.009877219685438862
UKX,CRM,1,1.5,53,0.8113207547169812,0.660377358490566,0.011774405468407828,0.002257734493995836,0.02051123467559006,-0.025793960122475774,0.017430945260867543,-0.02724573088603248,0.7951952541679488,0.6397679450692775,25.169811320754718,13.0,0.004,0.005516670974411992,0.009516670974411992
UKX,CRM,2,1.5,52,0.6923076923076923,0.5192307692307693,0.007679540761540061,-0.0011423770466791156,0.01884029484761729,-0.017432155932133698,0.017355257986786995,-0.021119822882822516,1.0807782422877419,0.8217520612307136,22.0,9.0,0.004,0.0048219178082191776,0.008821917808219178
UKX,CRM,3,1.5,46,0.5869565217391305,0.41304347826086957,0.006470652524313286,-0.0014126113232150054,0.017133797922520615,-0.008682238304718181,0.015145157259085221,-0.013064374399648502,1.9734309657464262,1.1592715269621103,17.717391304347824,3.5,0.004,0.0038832638475282907,0.00788326384752829
UKX,CRM,0,1.8,76,0.8157894736842105,0.6973684210526315,0.009413155531477058,0.002064921933784196,0.016221220227713475,-0.020736845266141342,0.012793448875107504,-0.022657335800569514,0.7822414653495593,0.5646493033300909,15.276315789473685,7.5,0.004,0.0033482335976928626,0.007348233597692863
UKX,CRM,1,1.8,74,0.7837837837837838,0.5945945945945946,0.006759963086829651,-0.0002433690123928596,0.013080102432744345,-0.016150542042111114,0.010577091617263812,-0.01611337793588931,0.809886281131564,0.6564167773726369,13.702702702702704,6.0,0.004,0.0030033320992225105,0.0070033320992225105
UKX,CRM,2,1.8,68,0.5441176470588235,0.4117647058823529,0.002251713368152757,-0.004333298718873834,0.013862965519853072,-0.011606877909683101,0.011418288621216981,-0.015359409856937406,1.1943750617285134,0.7434067277044285,11.794117647058824,4.0,0.004,0.0025850120870265915,0.006585012087026592
UKX,CRM,3,1.8,57,0.5789473684210527,0.45614035087719296,0.004943856354614609,-0.0009326156473080055,0.013210431543201456,-0.0064226845296923045,0.010261611543110586,-0.010321322323142956,2.0568395477201395,0.9942148129703804,8.56140350877193,3.0,0.004,0.001876472001922615,0.0058764720019226155
UKX,CRM,0,2.0,124,0.8064516129032258,0.6693548387096774,0.00739625956134479,0.0016446024689895074,0.012278734673380635,-0.012947386738804577,0.009220961372822372,-0.013692904580233124,0.9483562143532852,0.6734116431464524,7.991935483870968,3.0,0.004,0.0017516570923552808,0.005751657092355281
UKX,CRM,1,2.0,111,0.6936936936936937,0.4864864864864865,0.004850374299623611,-0.0007411350179131051,0.010763877837056747,-0.008541971946916138,0.009398377754843049,-0.010346989223682093,1.2601162710377165,0.9083200486313573,7.261261261261262,3.0,0.004,0.0015915093175367144,0.0055915093175367145
UKX,CRM,2,2.0,88,0.5,0.3181818181818182,0.0008104712988250324,-0.004668980755969488,0.011059860682251439,-0.009438918084601372,0.010682803624256887,-0.01183314680007513,1.1717297028241476,0.9027863682202489,6.75,3.0,0.004,0.0014794520547945207,0.005479452054794521
UKX,CRM,3,2.0,68,0.5147058823529411,0.3382352941176471,0.002552451814655923,-0.0024693048332087037,0.011323317378058617,-0.006749981358649969,0.011093537161508033,-0.009401424074952813,1.677533133265325,1.1799847632725484,4.661764705882353,2.0,0.004,0.0010217566478646252,0.005021756647864625
